questions,answers,empty_answers
How do I track my recent packages?,You can track your shipment at any time using our online tracking tool on,0
"What is the nearest location Duis quis dui gravida, imperdiet mauris molestie, placerat ligula. Duis quis dui gravida, imperdiet mauris molestie, placerat ligula.?",You can find the nearest Aramex location by visiting the Aramex Locations page and entering your city or ZIP code.,1
Aramex in education,Aramex supports education through logistics partnerships with universities and training programs focused on supply chain and entrepreneurship.,1
How do I upgrade," To upgrade your Aramex account or services, log in to your profile and contact customer support for available options.",1
What payment methods can I use to pay for the Aramex services?,"1. You can pay by cash for scheduled online pickups, or;2. You can visit any of our outlets and pay by credit card (Visa or MasterCard), or;",0
What items are prohibited on International Express?,"Also note that some countries have additional restrictions, prohibitions, and acceptance processes for certain commodities. Please refer to the Customs Information  page to check the prohibited/restricted items by country.Prohibited and Restricted Items.",0
Does Aramex have a Customer Service Charter?,Aramex Customer Service Charter,0
What is the meaning of the customs terminologies used by Aramex?,Customs Clearance,0
"I would like to know more about items that are unacceptable for shipping, insurance, and service restrictions.",Aramex Conditions of Carriage- Terms and Conditions,0
What other benefits will I get with Aramex Express?,Check here.,0
What is Parcel Express?,"The Aramex Parcel  is a service of shipping parcels and packages and delivering them to their respective recipients. However, the minimum chargeable weight for parcels is 500 grams (1 lb).",0
What is International Express?,"Aramex International Express is a door-to-door delivery service for urgent international shipments, including customs clearance.",1
What is Document Express?,Document Express is a fast and secure service for sending time-sensitive documents internationally.,1
What is Distribution Service?,Aramex Distribution Service enables businesses to deliver products directly to customers across local and regional markets.,1
What is Cash-on-Delivery (COD)?,COD allows recipients to pay for shipments upon delivery. Aramex collects the payment and transfers it to the sender.,1
What is ClickToShip?,ClickToShip,0
What is Aramex Return Service?,Aramex Return is a service that allows customers to send a documents or parcel that needs a signature or any other action and then needs to be returned to the shipper.,0
What is Aramex Domestic Service?," Aramex Domestic Service provides fast and reliable delivery within the same country, including same-day and next-day options.",1
How do I send an Express Shipment with Aramex?,You can ship with Aramex using one of the following methods:Use the Online Shipping page to prepare your shipment,0
"How do I order for Aramex boxes, pouches, and other supplies?",Visit our â€˜â€™ section in â€˜My Aramexâ€™ page and submit an order for what you need.,0
Where can I get the ClickToShip software?,software can be downloaded from the Downloads page. You can also request a free copy from the local Aramex office.,0
How can I tell if my shipment qualifies for Express or Freight?,"For Express shipment, the following conditions must be met:A maximum of 30 kilograms",0
What is the difference between actual weight and volumetric weight?,"When your package is received at our facility, we calculate both the actual weight of the package and its volumetric weight; the larger figure will be applied to your package. This procedure is followed by all airlines and freight forwarding companies.",0
Is my personal information safe with Aramex?,"At Aramex, we take confidentiality seriously. We ensure all personal information, such as identification details, street or e-mail addresses, phone numbers, or any other information provided on our website will not be shared or sold to any person, business, or entity.",0
Can I get a special rate for returning merchandise back to the merchant?,"We offer competitive shipping rates, which are based on the weight of your shipment, as well as the origin and destination. You can check the rates through this link.",0
What do I do if my shipment is missing from my Shop and Ship package?,Contact Aramex customer service with your tracking number. They will investigate and assist with locating your shipment.,1
What causes the delay in delivery from online merchants?,"The merchant did not ship your package because they couldnâ€™t get the proper authorization from your credit card company for your order. In such a scenario, we advise that you contact the merchant for clarification.",0
Why do some merchants decline to process my credit card?,Some online merchants donâ€™t accept international credit cards or credit cards of billing addresses outside the USA. We advice you to kindly check with your credit card issuer if this occurs.,0
How will my Shop and Ship address look like?,Address Line1: Origin AddressName: Customer First Name,0
Which other countries does Aramex offer accounts?,Aramex offers accounts in more than 45 countries around the world; you can check the addresses by logging in to your SNS account and pressing on my addresses.,0
Do I have to renew my Shop and Ship subscription on an annual basis?,"You can see the subscription fees in your country when you sign up for SNS, whether itâ€™s the flex or regular membership.",0
Who takes care of my Shop and Ship packages?,"Aramex handles Shop and Ship packages from arrival at your dedicated address to final delivery, including customs and tracking.",1
Are there any restrictions or limitations on shipping certain packages in terms of value?,"Aramex ships all Shop and Ship packages via express courier service. Therefore, the maximum value allowed per package should not exceed US$2500. Packages valued above US$2500 must come with an Export Declaration form from the shipper or the merchant.",0
Can a friend or a relative use my Shop and Ship account?," For security reasons, Shop and Ship accounts are intended for personal use. Sharing access is not recommended.",1
What is warehousing?,"is a service offered by Aramex Logistics to store and manage your inventory in our strategically located logistics centres. Warehousing offers duty-free or duty-paid options to cater to the different needs of customers in all industry segments. We also ensure that your storage requirements and inventory management needs are met while providing real-time visibility at all levels to help you control your stock levels, streamline purchases and improve your order cycle time.",0
What is Supply Chain Management (SCM)?,"SCM is the management of the entire value-added chain from the supplier to the manufacturer or service provider, on to the retailer and the final customer. SCM's primary goal is to deliver the right product to the right place at the right time in the most cost-effective manner.",0
What are the benefits of storing my items at an Aramex Warehouse?,"We provide real-time visibility of your stock on the system.We assume liability for accurately receiving items from your suppliers. This way, you get a third and independent evaluator.",0
What are the services offered through Aramex Logistics?,Supply-chain consultancyInbound freight and clearance,0
What are some of the items that cannot be stored in Aramex warehouses?,"Since Aramex  are built according to the local country's civil defense regulations, we do not store the following items:Any hazardous materials that require special storage conditions",0
What are Aramex Consulting services?,Operations Flow DesignEvaluations,0
How do I open an Aramex Logistics account?,"To open an Aramex Logistics account, please contact your local station, and they will visit you and offer you logistics solutions to suit your business.",0
What modes of transport does Aramex use?,"Aramex uses air, sea, and land transportation depending on the destination, shipment type, and service level.",1
What is the Door-to-Door service?,"It is a service in which Aramex picks up shipment(s) from the sender's door (e.g., warehouse) and handles all the exporting paperwork at the airport of origin, ships it to the recipientâ€™s country, takes care of customs clearance, tariffs, and other airport/importing regulations, and finally delivers it to the recipient's final address.",0
What is the Door-to-Airport service?,"Aramex picks up shipments from your location and delivers them to the destination airport, excluding final delivery.",1
What is the Airport-to-Door service?,"It is a service in which Aramex picks up the shipment(s) from the airport of origin, ships it to the country of destination, while taking care of customs clearance, tariffs, and other airport/importing regulations, and delivers it to the recipient's final address.",0
What is the Airport-to-Airport service?,"Airport-to-Airport is a freight service where shipments are transported between airports only. You handle drop-off and pickup at the cargo terminals, and customs clearance is your responsibility.",1
What is the Aramex Middle East Trucking Services?,This service offers ground transportation across Middle Eastern countries for bulk and commercial shipments.,1
What is Aramex Freight?,"Aramex Freight handles large-volume shipments via air, sea, or land, including customs and warehousing support.",1
Which Freight services does Aramex provide?,Airport-to-Airport deliveryCustoms Clearance and Door Delivery,0
Can I clear my shipment(s) myself or through my clearance agent?,"Yes, you can choose to clear your shipment personally or appoint a licensed clearance agent.",1
Does Aramex have shipment clearance services?,"Yes, Aramex offers its customers the option of clearing their shipments of all importing/exporting procedures.",0
Are there any restrictions on the types of products I can ship?,prohibited items,0
Which documents are required for shipping a freight shipment?,"You need a commercial invoice, packing list, and airway bill. Other documents may be required based on destination and cargo type.",0
How can I check the status of my shipment?,tracking tool,0
What is the difference between International and Domestic Express?,International Express shipments have destinations outside of the country of origin while the Domestic service is shipments with a destination within the same country of origin.,0
What is Aramex Locker?,"is a new solution designed to cater to you; you can decide when and where to collect your shipments without the hassle of waiting for a courier. You will receive a message/email with your PIN code and QR code when your shipment is placed in the locker, and you will have a 72-hour window to pick it up at your own convenience from the locker of your choice.",0
Why choose Aramex Locker?,They are convenient.,0
Can I send shipments through Aramex Lockers?,"No, you can only use  to receive your shipments.",0
"If I am expecting more than one shipment, can they be delivered to the same locker?","Currently, each  will hold one shipment only. If you receive multiple shipments, you will receive multiple notifications with collection details for each shipment, which will be placed in separate lockers.",0
How can I choose the most convenient location to pick up the shipment?," During checkout, select your preferred pickup location or locker based on proximity and availability.",1
Do I need to register online to collect my shipment from Aramex Locker?,"No, you only need to choose the Aramex Locker as a delivery option.",0
How will I know when to collect my shipment from Aramex Locker?,"When your package is placed in the locker, you will receive an email/text message confirming that the package has arrived and can be accessed by using a pin code/ QR code we send you via text/ email.",0
How long do I have to collect my shipment from the locker?,Your shipment will be stored in an Aramex Locker for 2 days /48 hours.,0
Will I receive a reminder to collect my shipment from the locker?,"Yes, you will receive one reminder a day within 48 hours.",0
Can my shipment be collected in my name by another person who has my collection code?,"It is recommended that customers collect their own shipments. However, if necessary, it can be collected by another person if the other person has both the pin code/ QR code that you have received through text message/email and your mobile number. In this case, you carry full responsibility for supplying the message details to a third party, who will collect the shipment in your name. Aramex will not be held responsible for any stolen/lost shipments.",0
How can I track my shipment?,You can track your shipment at any time using our online tracking tool on,0
What are QR codes?,"When collecting your shipment, scan your QR code, which will be sent to you via email confirmation. The parcel locker reads the code from the data inside the QR code and opens the correct locker compartment.",0
What is Shield Service?,Shield T&C,0
How does Aramex Locker work?,locker,0
Is the Shield Service available for any item I want to ship?,shield exceptions,0
Where are the Aramex Lockers located?,You can find the list of locations on the .,0
